strategy,symbol,tier,trades,wins,win_rate,profit_factor,total_return_pct,max_dd_pct,avg_hold_days
MACD-Hist,LIN,tier3,10,2,20.0,0.515,-2.29,2.29,3.7
Donchian-BO,LIN,tier3,5,3,60.0,2.135,1.4,1.0,24.4
EMA-10/30,LIN,tier3,4,2,50.0,0.345,-0.93,1.0,12.5
Keltner,LIN,tier3,1,1,100.0,99.0,0.53,0.0,0.0
ADX-Pullback,LIN,tier3,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,ORCL,tier3,6,5,83.33,0.685,-0.32,1.0,2.2
BB-MR,ORCL,tier3,3,0,0.0,0.0,-2.54,2.54,7.3
IBS,ORCL,tier3,16,9,56.25,1.422,1.03,1.28,2.1
ConnorsRSI,ORCL,tier3,2,1,50.0,0.624,-0.38,1.0,4.0
Williams%R,ORCL,tier3,7,4,57.14,0.58,-1.1,1.61,4.9
Stoch,ORCL,tier3,6,2,33.33,1.698,2.78,2.82,4.0
MFI,ORCL,tier3,1,0,0.0,0.0,-0.52,0.52,5.0
MACD-Hist,ORCL,tier3,2,0,0.0,0.0,-1.43,1.43,0.5
Donchian-BO,ORCL,tier3,4,2,50.0,2.092,2.27,1.99,18.8
EMA-10/30,ORCL,tier3,1,0,0.0,0.0,-1.0,1.0,1.0
Keltner,ORCL,tier3,4,1,25.0,0.358,-1.93,2.97,4.2
ADX-Pullback,ORCL,tier3,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,SCHW,tier3,11,9,81.82,2.199,1.45,1.0,1.2
BB-MR,SCHW,tier3,5,3,60.0,0.684,-0.63,1.0,6.6
IBS,SCHW,tier3,20,12,60.0,1.145,0.52,1.64,2.2
ConnorsRSI,SCHW,tier3,1,0,0.0,0.0,-0.21,0.21,5.0
Williams%R,SCHW,tier3,6,2,33.33,0.637,-0.56,1.02,4.7
Stoch,SCHW,tier3,4,2,50.0,0.705,-0.59,1.99,3.2
MFI,SCHW,tier3,1,0,0.0,0.0,-1.0,1.0,3.0
MACD-Hist,SCHW,tier3,11,5,45.45,0.498,-1.91,2.98,7.1
Donchian-BO,SCHW,tier3,7,3,42.86,0.75,-1.01,2.56,15.3
EMA-10/30,SCHW,tier3,7,2,28.57,0.546,-1.8,2.03,9.1
Keltner,SCHW,tier3,4,3,75.0,1.194,0.19,1.0,5.5
ADX-Pullback,SCHW,tier3,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,EMR,tier3,14,12,85.71,17.405,3.95,0.13,1.4
BB-MR,EMR,tier3,5,2,40.0,0.413,-1.62,1.76,5.8
IBS,EMR,tier3,29,21,72.41,1.443,2.9,1.99,1.7
ConnorsRSI,EMR,tier3,3,1,33.33,0.219,-1.0,1.0,3.0
Williams%R,EMR,tier3,7,3,42.86,0.854,-0.36,1.53,5.0
Stoch,EMR,tier3,3,1,33.33,0.348,-1.3,1.3,4.3
MFI,EMR,tier3,0,0,0.0,0.0,0.0,0.0,0.0
MACD-Hist,EMR,tier3,10,3,30.0,0.721,-1.16,3.11,6.3
Donchian-BO,EMR,tier3,6,3,50.0,1.093,0.28,1.99,20.3
EMA-10/30,EMR,tier3,3,1,33.33,0.67,-0.46,0.71,15.0
Keltner,EMR,tier3,3,0,0.0,0.0,-2.75,2.75,6.7
ADX-Pullback,EMR,tier3,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,SMH,tier3,10,9,90.0,40.568,3.77,0.09,1.0
BB-MR,SMH,tier3,3,3,100.0,99.0,1.87,0.0,5.7
IBS,SMH,tier3,18,12,66.67,1.705,2.29,1.45,1.7
ConnorsRSI,SMH,tier3,1,0,0.0,0.0,-0.18,0.18,0.0
Williams%R,SMH,tier3,4,4,100.0,99.0,3.49,0.0,4.5
Stoch,SMH,tier3,1,1,100.0,99.0,1.03,0.0,4.0
MFI,SMH,tier3,0,0,0.0,0.0,0.0,0.0,0.0
MACD-Hist,SMH,tier3,10,5,50.0,3.578,5.18,1.26,6.5
Donchian-BO,SMH,tier3,8,4,50.0,1.526,2.18,2.14,18.1
EMA-10/30,SMH,tier3,1,1,100.0,99.0,0.16,0.0,20.0
Keltner,SMH,tier3,2,2,100.0,99.0,1.74,0.0,1.5
ADX-Pullback,SMH,tier3,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,NOW,tier3,3,3,100.0,99.0,1.13,0.0,0.3
BB-MR,NOW,tier3,1,1,100.0,99.0,0.45,0.0,7.0
IBS,NOW,tier3,5,3,60.0,2.88,0.52,0.2,2.4
ConnorsRSI,NOW,tier3,0,0,0.0,0.0,0.0,0.0,0.0
Williams%R,NOW,tier3,2,1,50.0,0.827,-0.17,1.0,4.0
Stoch,NOW,tier3,1,0,0.0,0.0,-1.0,1.0,3.0
MFI,NOW,tier3,1,0,0.0,0.0,-1.0,1.0,3.0
MACD-Hist,NOW,tier3,3,0,0.0,0.0,-2.21,2.21,1.7
Donchian-BO,NOW,tier3,4,1,25.0,0.284,-1.46,2.03,19.5
EMA-10/30,NOW,tier3,2,1,50.0,0.876,-0.08,0.66,14.0
Keltner,NOW,tier3,2,0,0.0,0.0,-1.99,1.99,2.5
ADX-Pullback,NOW,tier3,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,DG,tier3,15,12,80.0,3.001,4.99,1.0,2.2
BB-MR,DG,tier3,5,2,40.0,0.676,-0.67,1.62,6.4
IBS,DG,tier3,24,14,58.33,1.333,1.96,2.37,2.0
ConnorsRSI,DG,tier3,2,1,50.0,1.274,0.21,0.75,3.0
Williams%R,DG,tier3,8,5,62.5,2.421,2.61,1.0,4.1
Stoch,DG,tier3,7,3,42.86,1.17,0.42,1.32,4.1
MFI,DG,tier3,5,2,40.0,0.911,-0.23,2.49,4.0
MACD-Hist,DG,tier3,10,3,30.0,0.577,-1.09,1.3,6.5
Donchian-BO,DG,tier3,6,3,50.0,2.595,4.97,1.99,22.5
EMA-10/30,DG,tier3,3,1,33.33,2.786,2.88,1.61,12.3
Keltner,DG,tier3,7,3,42.86,0.839,-0.6,1.99,5.9
ADX-Pullback,DG,tier3,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,EA,tier3,13,11,84.62,5.531,6.96,1.0,1.2
BB-MR,EA,tier3,3,2,66.67,5.948,2.36,0.48,6.7
IBS,EA,tier3,27,16,59.26,2.151,4.57,2.56,2.0
ConnorsRSI,EA,tier3,2,1,50.0,1.183,0.12,0.66,0.5
Williams%R,EA,tier3,5,3,60.0,2.401,1.14,0.66,3.4
Stoch,EA,tier3,3,3,100.0,99.0,1.64,0.0,5.0
MFI,EA,tier3,0,0,0.0,0.0,0.0,0.0,0.0
MACD-Hist,EA,tier3,9,3,33.33,2.288,3.66,2.28,6.4
Donchian-BO,EA,tier3,6,3,50.0,2.075,1.32,1.09,27.3
EMA-10/30,EA,tier3,6,4,66.67,1.471,0.94,1.0,17.3
Keltner,EA,tier3,4,3,75.0,9.927,4.55,0.5,3.5
ADX-Pullback,EA,tier3,1,0,0.0,0.0,-0.07,0.07,1.0
RSI-2,KMI,tier3,9,6,66.67,2.069,1.28,1.13,1.6
BB-MR,KMI,tier3,2,1,50.0,17.607,1.3,0.08,10.0
IBS,KMI,tier3,15,8,53.33,0.751,-0.67,1.92,1.9
ConnorsRSI,KMI,tier3,4,3,75.0,3.485,1.38,0.55,3.0
Williams%R,KMI,tier3,4,4,100.0,99.0,3.64,0.0,3.8
Stoch,KMI,tier3,1,1,100.0,99.0,0.4,0.0,5.0
MFI,KMI,tier3,0,0,0.0,0.0,0.0,0.0,0.0
MACD-Hist,KMI,tier3,5,2,40.0,1.406,0.9,1.91,7.0
Donchian-BO,KMI,tier3,5,2,40.0,1.059,0.16,2.52,21.4
EMA-10/30,KMI,tier3,6,2,33.33,0.954,-0.12,2.47,13.7
Keltner,KMI,tier3,2,2,100.0,99.0,2.5,0.0,7.0
ADX-Pullback,KMI,tier3,0,0,0.0,0.0,0.0,0.0,0.0
