strategy,symbol,tier,trades,wins,win_rate,profit_factor,total_return_pct,max_dd_pct,avg_hold_days
IBS,TSLA,tier2,24,12,50.0,0.699,-1.72,3.79,1.9
ConnorsRSI,TSLA,tier2,3,2,66.67,0.606,-0.28,0.71,1.7
Williams%R,TSLA,tier2,6,4,66.67,0.632,-0.63,1.0,4.8
Stoch,TSLA,tier2,3,2,66.67,0.341,-0.66,1.0,4.3
MFI,TSLA,tier2,0,0,0.0,0.0,0.0,0.0,0.0
MACD-Hist,TSLA,tier2,11,2,18.18,1.016,0.07,2.72,4.4
Donchian-BO,TSLA,tier2,5,2,40.0,0.846,-0.47,2.97,18.2
EMA-10/30,TSLA,tier2,3,2,66.67,0.536,-0.35,0.76,16.0
Keltner,TSLA,tier2,3,2,66.67,1.601,0.6,1.0,5.7
ADX-Pullback,TSLA,tier2,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,XLC,tier2,17,10,58.82,0.677,-1.44,2.57,1.9
BB-MR,XLC,tier2,5,2,40.0,0.707,-0.88,1.31,4.6
IBS,XLC,tier2,27,18,66.67,1.244,1.33,1.54,1.7
